,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_lr,param_max_epochs,param_module__num_layers,param_optimizer,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
722,5.652593946456909,0.05749246420284394,0.006120824813842773,0.0010659592723337593,60,0.01,100,1,<class 'torch.optim.adadelta.Adadelta'>,"{'batch_size': 60, 'lr': 0.01, 'max_epochs': 100, 'module__num_layers': 1, 'optimizer': <class 'torch.optim.adadelta.Adadelta'>}",0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.0,652
591,27.536759519577025,1.1110865628415991,0.008323144912719727,0.004013443715490032,40,0.001,500,2,<class 'torch.optim.sgd.SGD'>,"{'batch_size': 40, 'lr': 0.001, 'max_epochs': 500, 'module__num_layers': 2, 'optimizer': <class 'torch.optim.sgd.SGD'>}",0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.0,652
593,71.326744890213,6.057783138497076,0.007223081588745117,0.00108291615041625,40,0.001,500,2,<class 'torch.optim.adadelta.Adadelta'>,"{'batch_size': 40, 'lr': 0.001, 'max_epochs': 500, 'module__num_layers': 2, 'optimizer': <class 'torch.optim.adadelta.Adadelta'>}",0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.0,652
594,24.888955974578856,0.9081955958199263,0.006315851211547851,0.0016058013591754138,40,0.001,500,3,<class 'torch.optim.sgd.SGD'>,"{'batch_size': 40, 'lr': 0.001, 'max_epochs': 500, 'module__num_layers': 3, 'optimizer': <class 'torch.optim.sgd.SGD'>}",0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.0,652
596,75.96474018096924,2.4159708411937655,0.006508398056030274,0.0005441642459334611,40,0.001,500,3,<class 'torch.optim.adadelta.Adadelta'>,"{'batch_size': 40, 'lr': 0.001, 'max_epochs': 500, 'module__num_layers': 3, 'optimizer': <class 'torch.optim.adadelta.Adadelta'>}",0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.0,652
597,26.055106115341186,1.2791523473488615,0.007425165176391602,0.0026146674244878158,40,0.001,500,4,<class 'torch.optim.sgd.SGD'>,"{'batch_size': 40, 'lr': 0.001, 'max_epochs': 500, 'module__num_layers': 4, 'optimizer': <class 'torch.optim.sgd.SGD'>}",0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.0,652
599,78.8685510635376,5.3366675682845015,0.006914472579956055,0.0007402277826910358,40,0.001,500,4,<class 'torch.optim.adadelta.Adadelta'>,"{'batch_size': 40, 'lr': 0.001, 'max_epochs': 500, 'module__num_layers': 4, 'optimizer': <class 'torch.optim.adadelta.Adadelta'>}",0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.0,652
603,3.5881650924682615,0.2223475458612179,0.006527519226074219,0.0015836591664388719,60,0.1,100,2,<class 'torch.optim.sgd.SGD'>,"{'batch_size': 60, 'lr': 0.1, 'max_epochs': 100, 'module__num_layers': 2, 'optimizer': <class 'torch.optim.sgd.SGD'>}",0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.0,652
605,5.552738380432129,0.22261198975340932,0.005915975570678711,0.000864717315085941,60,0.1,100,2,<class 'torch.optim.adadelta.Adadelta'>,"{'batch_size': 60, 'lr': 0.1, 'max_epochs': 100, 'module__num_layers': 2, 'optimizer': <class 'torch.optim.adadelta.Adadelta'>}",0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.0,652
606,3.338196849822998,0.01534156077841709,0.006617546081542969,0.0015689748802086875,60,0.1,100,3,<class 'torch.optim.sgd.SGD'>,"{'batch_size': 60, 'lr': 0.1, 'max_epochs': 100, 'module__num_layers': 3, 'optimizer': <class 'torch.optim.sgd.SGD'>}",0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.0,652
608,4.38152756690979,0.2818198622723383,0.005820512771606445,0.0007547484673820765,60,0.1,100,3,<class 'torch.optim.adadelta.Adadelta'>,"{'batch_size': 60, 'lr': 0.1, 'max_epochs': 100, 'module__num_layers': 3, 'optimizer': <class 'torch.optim.adadelta.Adadelta'>}",0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.0,652
609,3.510379505157471,0.04043145267008415,0.005318737030029297,0.00039874175823543455,60,0.1,100,4,<class 'torch.optim.sgd.SGD'>,"{'batch_size': 60, 'lr': 0.1, 'max_epochs': 100, 'module__num_layers': 4, 'optimizer': <class 'torch.optim.sgd.SGD'>}",0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.0,652
611,4.9964869022369385,0.22539789444901195,0.007125329971313476,0.002605071526346059,60,0.1,100,4,<class 'torch.optim.adadelta.Adadelta'>,"{'batch_size': 60, 'lr': 0.1, 'max_epochs': 100, 'module__num_layers': 4, 'optimizer': <class 'torch.optim.adadelta.Adadelta'>}",0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.0,652
617,13.594727706909179,0.8303898071644249,0.0067234039306640625,0.002070985485470309,60,0.1,200,2,<class 'torch.optim.adadelta.Adadelta'>,"{'batch_size': 60, 'lr': 0.1, 'max_epochs': 200, 'module__num_layers': 2, 'optimizer': <class 'torch.optim.adadelta.Adadelta'>}",0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.0,652
